# id seg1 seg2 log10Jsquare_ave log10Jsquare_std J_Sti
161 9 396 -6.46960e+00 1.01699e+00 8.239584308e-10
162 9 416 -6.01232e+00 1.28184e+00 2.943115857e-07
163 9 437 -6.02233e+00 4.59111e-01 2.292602285e-07
164 9 488 -2.86248e+00 2.90805e-01 1.371419938e-05
165 9 512 -7.07615e+00 9.91537e-01 9.593281962e-12
166 9 655 -1.04234e+01 1.06246e+00 3.627994449e-17
167 9 685 -9.81253e+00 8.73901e-01 2.862551760e-15
168 9 775 -7.53355e+00 1.09803e+00 3.404098578e-10
169 9 814 -4.10363e+00 9.34831e-01 2.574655266e-03
170 9 988 -5.17672e+00 2.69512e-01 3.754181780e-09
171 10 27 -4.91511e+00 5.43954e-01 5.852372966e-10
172 10 80 -6.29417e+00 7.67070e-01 4.072734929e-12
173 10 116 -5.75305e+00 9.77220e-01 1.793728792e-09
174 10 137 -8.25660e+00 4.28926e-01 1.776819758e-16
175 10 197 -5.70465e+00 5.32324e-01 3.518676333e-11
176 10 215 -2.85229e+00 2.99629e-01 1.089687003e-09
177 10 228 -6.49762e+00 1.56746e+00 2.528054093e-08
178 10 257 -7.92394e+00 8.74651e-01 6.342509076e-13
179 10 269 -9.49160e+00 1.40726e+00 4.338994773e-18
180 10 287 -7.43785e+00 1.12818e+00 1.515080562e-13
181 10 395 -5.16247e+00 8.36944e-01 9.058034841e-10
182 10 454 -6.50872e+00 3.87773e-01 3.247708135e-15
183 10 583 -9.51822e+00 1.75027e+00 0.000000000e+00
184 10 681 -5.02907e+00 3.77955e-01 8.380291829e-13
185 10 710 -5.46197e+00 1.35884e+00 2.647202395e-08
186 10 731 -4.82095e+00 4.27645e-01 6.301512497e-09
187 10 776 -8.92809e+00 8.59245e-01 2.053896393e-16
188 10 779 -5.79885e+00 8.19738e-01 0.000000000e+00
189 10 870 -6.17087e+00 5.59498e-01 1.461870392e-09
190 11 36 -6.94046e+00 6.65755e-01 2.157147711e-15
191 11 41 -6.27209e+00 3.91213e-01 9.634045279e-15
192 11 76 -6.08422e+00 5.95602e-01 1.858245718e-12
193 11 93 -7.62573e+00 1.43565e+00 5.029424783e-10
194 11 130 -7.24438e+00 3.99600e-01 2.859406948e-15
195 11 246 -4.07749e+00 6.41555e-01 1.488937246e-07
196 11 268 -5.18888e+00 1.17778e+00 1.369729355e-10
197 11 281 -7.89559e+00 6.39151e-01 5.770746689e-17
198 11 334 -6.32442e+00 3.90557e-01 1.658385940e-12
199 11 425 -4.92167e+00 8.80836e-01 3.119708879e-11
200 11 498 -6.10060e+00 7.57728e-01 3.455655259e-11
201 11 573 -3.38262e+00 6.18927e-01 4.368255250e-08
202 11 707 -4.83350e+00 1.27792e+00 1.166847689e-09
203 11 763 -5.51698e+00 5.72220e-01 3.187575546e-10
204 11 805 -8.68315e+00 8.82493e-01 4.811817173e-18
205 11 823 -5.64367e+00 6.44575e-01 4.496825679e-13
206 11 860 -6.28982e+00 8.27532e-01 1.514237298e-13
207 11 899 -7.92107e+00 2.61312e-01 7.199425664e-18
208 11 949 -4.21561e+00 4.18894e-01 1.318071451e-08
209 12 13 -7.66924e+00 4.03097e-01 1.685603128e-14
210 12 61 -3.70252e+00 4.59699e-01 1.225397453e-04
211 12 221 -6.38235e+00 3.70933e-01 2.612745471e-13
212 12 331 -5.81468e+00 5.73652e-01 3.155940518e-12
213 12 399 -3.66739e+00 2.43008e-01 2.294818526e-07
214 12 414 -5.78313e+00 8.82452e-01 3.658648256e-07
215 12 477 -4.29510e+00 7.24179e-01 2.408182026e-08
216 12 493 -9.84706e+00 9.27448e-01 3.185629630e-18
217 12 526 -5.61619e+00 8.65659e-01 2.110974710e-10
218 12 628 -8.93000e+00 8.98149e-01 1.144947685e-12
219 12 653 -4.47581e+00 3.43380e-01 2.787649062e-06
220 12 672 -5.02223e+00 4.40165e-01 2.838609874e-11
221 12 802 -4.32144e+00 9.65505e-01 1.404007990e-05
222 12 827 -6.28199e+00 6.58522e-01 1.916828922e-14
223 12 878 -4.67457e+00 3.35298e-01 1.303678739e-09
224 12 910 -4.88093e+00 4.33983e-01 9.032243780e-10
225 13 109 -7.07145e+00 1.45267e+00 3.378308545e-10
226 13 197 -5.69240e+00 2.04466e-01 5.775799586e-13
227 13 245 -7.41350e+00 1.12365e+00 5.877903346e-10
228 13 358 -6.85025e+00 4.36061e-01 3.128889137e-12
229 13 454 -4.96796e+00 4.94901e-01 2.041899628e-11
230 13 553 -5.40499e+00 7.53271e-01 5.825417900e-11
231 13 629 -1.22887e+01 7.98812e-01 1.777892704e-18
232 13 640 -9.59272e+00 7.19746e-01 5.854972137e-18
233 13 651 -7.93296e+00 6.98229e-01 0.000000000e+00
234 13 653 -4.28981e+00 2.71237e-01 4.437439440e-06
235 13 670 -5.09388e+00 8.03901e-01 1.569469299e-06
236 13 681 -8.42058e+00 8.58304e-01 2.892761156e-15
237 13 802 -2.56047e+00 2.49098e-01 1.524713940e-07
238 13 827 -6.10957e+00 4.13934e-01 9.017781215e-13
239 13 910 -5.66386e+00 1.35932e+00 2.895950139e-09
240 13 984 -4.52697e+00 7.76065e-01 5.364791790e-08
241 14 26 -8.49968e+00 5.24091e-01 3.274901872e-15
242 14 36 -9.90101e+00 4.92405e-01 1.990392274e-18
243 14 38 -7.11528e+00 6.11523e-01 1.266767253e-11
244 14 60 -5.05538e+00 2.40127e-01 4.129595098e-10
245 14 245 -9.19885e+00 9.73077e-01 2.869227142e-17
246 14 292 -4.57397e+00 2.89649e-01 1.332490609e-08
247 14 342 -4.99082e+00 8.72305e-01 2.252604743e-12
248 14 348 -6.20488e+00 1.12378e+00 1.653066710e-11
249 14 369 -6.00140e+00 5.86156e-01 1.462266211e-10
250 14 438 -7.53088e+00 3.82004e-01 1.634882740e-14
251 14 459 -6.72240e+00 6.44842e-01 3.943205314e-13
252 14 502 -3.18318e+00 1.26804e-01 9.508686887e-10
253 14 590 -1.02708e+01 1.57850e+00 8.975536416e-15
254 14 603 -9.11506e+00 8.82568e-01 1.504847065e-17
255 14 614 -9.18314e+00 2.24073e-01 5.697630016e-18
256 14 629 -4.99917e+00 4.70013e-01 3.473685116e-13
257 14 691 -8.29835e+00 3.81890e-01 6.622473350e-17
258 14 777 -5.18171e+00 1.64304e+00 8.108786398e-08
259 14 822 -4.08578e+00 5.77345e-01 6.299042299e-07
260 14 862 -1.08056e+01 7.77369e-01 7.570533379e-19
261 14 933 -4.51790e+00 4.38799e-01 5.689858200e-09
262 14 987 -5.65635e+00 6.48488e-01 8.912022373e-10
263 15 108 -6.97226e+00 5.62421e-01 4.608280058e-12
264 15 110 -4.14528e+00 5.64378e-01 4.677153662e-06
265 15 260 -8.12915e+00 1.45020e+00 1.271321256e-12
266 15 267 -7.21494e+00 6.63358e-01 8.440149755e-13
267 15 306 -7.78679e+00 1.15268e+00 2.238062236e-13
268 15 375 -4.70477e+00 1.12532e+00 3.311297496e-09
269 15 413 -6.05924e+00 6.18323e-01 4.571657140e-11
270 15 489 -5.23163e+00 5.78055e-01 3.194685682e-07
271 15 538 -9.61733e+00 2.66990e-01 6.636575372e-17
272 15 633 -4.03373e+00 7.56586e-01 1.837983804e-06
273 15 722 -4.65918e+00 6.45019e-01 6.738761767e-07
274 15 774 -8.70781e+00 9.06997e-01 4.745179877e-13
275 15 807 -9.64745e+00 1.62576e+00 7.761446173e-13
276 15 861 -4.54204e+00 1.21526e+00 2.879640048e-10
277 15 938 -6.00513e+00 9.99565e-01 2.828197395e-08
278 15 955 -8.65495e+00 4.40610e-01 5.224834062e-16
279 15 974 -1.01239e+01 7.08935e-01 1.804911808e-15
280 16 102 -6.53731e+00 1.22559e+00 3.989683831e-07
281 16 120 -5.11335e+00 5.15931e-01 1.294600863e-07
282 16 170 -8.57554e+00 7.34733e-01 1.916596330e-15
283 16 223 -8.04904e+00 1.00370e+00 5.843275318e-14
284 16 270 -4.99831e+00 3.14003e-01 0.000000000e+00
285 16 357 -3.94293e+00 4.67642e-01 2.803903655e-08
286 16 406 -5.70013e+00 4.58556e-01 3.750026081e-09
287 16 426 -5.50057e+00 6.46896e-01 2.978491267e-06
288 16 439 -7.64366e+00 8.12518e-01 6.351327549e-14
289 16 479 -7.19113e+00 6.78430e-01 3.435661032e-16
290 16 519 -5.78495e+00 2.24485e-01 1.612617116e-10
291 16 549 -3.89660e+00 4.34691e-01 6.327050470e-06
292 16 550 -5.39891e+00 7.53207e-01 2.329613442e-09
293 16 560 -4.43269e+00 4.54853e-01 2.084641820e-05
294 16 568 -1.07480e+01 3.34792e-01 1.611177940e-18
295 16 616 -6.76486e+00 6.45982e-01 3.239754244e-14
296 16 867 -7.49258e+00 1.11557e+00 7.217307127e-10
297 16 875 -8.27060e+00 4.85115e-01 4.034066332e-13
298 16 898 -4.98552e+00 2.16633e-01 1.749206494e-08
299 17 23 -3.93943e+00 9.39349e-01 7.040930991e-05
300 17 104 -1.27771e+01 6.02096e-01 1.755646861e-18
301 17 135 -6.66478e+00 8.10225e-01 4.192765534e-10
302 17 193 -6.01574e+00 1.15369e+00 7.654349217e-07
303 17 214 -6.03480e+00 8.22562e-01 7.135740901e-08
304 17 317 -3.48800e+00 3.99320e-01 3.633583999e-08
305 17 394 -5.80840e+00 8.58261e-01 2.776748179e-10
306 17 417 -7.92437e+00 9.06850e-01 1.458577447e-12
307 17 500 -7.46139e+00 5.46113e-01 5.638221918e-18
308 17 551 -8.10045e+00 1.07246e+00 4.057439979e-08
309 17 599 -6.56525e+00 4.32507e-01 7.652288933e-08
310 17 644 -3.71865e+00 3.37912e-01 1.062458098e-08
311 17 800 -6.09297e+00 9.18674e-01 1.541262045e-13
312 17 997 -5.99178e+00 1.30366e+00 1.247277282e-10
313 18 106 -3.29354e+00 5.68838e-01 6.948645130e-09
314 18 179 -4.40954e+00 4.06272e-01 6.168165819e-09
315 18 194 -3.88487e+00 3.31870e-01 9.773712597e-11
316 18 216 -7.59296e+00 8.67200e-01 1.405562358e-15
317 18 220 -7.89269e+00 3.01284e-01 7.402650540e-18
318 18 340 -5.89754e+00 7.83383e-01 9.080946052e-12
319 18 368 -5.87982e+00 6.19918e-01 1.813795501e-14
320 18 382 -5.32863e+00 1.48348e+00 1.889858456e-08
321 18 494 -7.47046e+00 5.56369e-01 2.358463029e-15
322 18 512 -7.96562e+00 9.19804e-01 1.324698427e-16
323 18 531 -7.12785e+00 3.50197e-01 7.593233850e-16
324 18 545 -7.40327e+00 5.11250e-01 5.004342644e-15
325 18 575 -7.90065e+00 1.08084e+00 8.466007045e-16
326 18 784 -6.79623e+00 1.62146e+00 3.774905280e-12
327 18 792 -7.26505e+00 3.39134e-01 1.930566834e-16
328 18 918 -3.85969e+00 2.82347e-01 8.523943490e-09
329 18 931 -7.16342e+00 9.46544e-01 9.072823449e-17
330 18 988 -8.87298e+00 5.91740e-01 1.208935512e-19
331 18 993 -4.33414e+00 9.18380e-01 2.266352729e-09
332 19 93 -7.23024e+00 7.93643e-01 0.000000000e+00
333 19 130 -4.48459e+00 2.63512e-01 0.000000000e+00
334 19 147 -9.93276e+00 4.20280e-01 3.785947576e-18
335 19 235 -7.79069e+00 1.34256e+00 4.313996187e-09
336 19 284 -7.27613e+00 4.66538e-01 0.000000000e+00
337 19 285 -8.55540e+00 7.96886e-01 7.917962939e-14
338 19 374 -5.27549e+00 1.33820e+00 2.364351440e-09
339 19 576 -3.72167e+00 1.09533e+00 1.545823724e-05
340 19 621 -5.58447e+00 7.62711e-01 1.444129989e-08
341 19 634 -6.49102e+00 1.02206e+00 1.781784036e-11
342 19 729 -2.65294e+00 5.68722e-01 4.898501123e-08
343 19 859 -7.18256e+00 3.41611e-01 6.844129309e-16
344 19 894 -8.00124e+00 3.94425e-01 3.098403221e-14
345 19 912 -4.26097e+00 3.23793e-01 9.278913493e-08
346 20 80 -5.53728e+00 8.41368e-01 8.382457611e-13
347 20 114 -7.12683e+00 5.85620e-01 2.404280140e-11
