# id Eave Estd E_Sti
205 -0.93515 0.02153 8.241060613e-06
206 -0.82198 0.03593 1.838532826e-06
207 -0.93515 0.01886 8.288737763e-08
208 -0.96594 0.01196 1.924350116e-05
209 -0.78872 0.01080 8.997847632e-09
210 -0.82235 0.02598 2.387300817e-07
211 -0.90012 0.04139 6.972126028e-06
212 -0.66536 0.02773 1.195250479e-09
213 -0.87214 0.02475 4.714005902e-05
214 -0.89059 0.01904 6.766092117e-07
215 -0.76565 0.01996 9.124070567e-09
216 -0.89911 0.02140 1.585165423e-07
217 -0.78322 0.02860 9.417195255e-08
218 -0.75897 0.02438 8.593088884e-08
219 -0.81339 0.01344 7.305935671e-07
220 -0.88990 0.00953 4.001597220e-07
221 -0.86577 0.02691 1.662630586e-08
222 -0.83314 0.01152 1.358415067e-07
223 -0.85738 0.01232 4.042076585e-06
224 -0.90683 0.02181 3.194601346e-07
225 -0.87613 0.02699 7.707204708e-06
226 -0.94246 0.02106 9.867039905e-03
227 -0.70308 0.03181 2.384655406e-09
228 -0.90092 0.02490 9.778694391e-08
229 -0.84224 0.02151 7.110889808e-09
230 -0.72277 0.01600 4.467648081e-08
231 -0.93136 0.01880 2.890364824e-07
232 -0.84084 0.00772 5.062863036e-05
233 -0.87974 0.00714 1.522474752e-08
234 -1.02486 0.02108 4.711889337e-08
235 -0.85035 0.02677 3.622598503e-06
236 -0.77582 0.01887 9.992311295e-07
237 -0.80044 0.00802 1.564466221e-07
238 -0.65825 0.01124 2.491973240e-12
239 -0.87058 0.01959 5.559244339e-06
240 -0.97487 0.02103 1.166617922e-06
241 -0.90260 0.01954 1.948965439e-08
242 -0.91157 0.03051 1.087102804e-06
243 -0.84190 0.03373 1.710433600e-06
244 -0.96922 0.02521 1.792109073e-06
245 -0.89480 0.01520 3.266976835e-07
246 -0.95613 0.02577 7.739402675e-07
247 -0.76223 0.02505 2.932385019e-08
248 -0.83152 0.01095 9.427239863e-09
249 -0.88191 0.02254 8.316248157e-08
250 -0.82045 0.01703 8.307859282e-05
251 -0.77891 0.01609 2.559700811e-08
252 -0.92936 0.01123 8.182658506e-05
253 -0.83422 0.01991 5.513366824e-07
254 -1.04862 0.02388 4.406305944e-04
255 -0.95333 0.02740 2.566297281e-05
256 -0.92573 0.00646 1.447408719e-05
257 -0.82347 0.01219 8.689869180e-08
258 -0.82566 0.01437 1.263434701e-08
259 -0.80806 0.02956 8.038913094e-08
260 -0.96710 0.01154 9.217180635e-06
261 -0.89631 0.02653 2.164401012e-08
262 -0.85297 0.02911 2.123985254e-08
263 -0.78238 0.03315 6.567382560e-08
264 -0.87922 0.02239 4.140298934e-08
265 -0.90094 0.02068 1.156584799e-07
266 -0.86532 0.01364 1.082433158e-09
267 -0.83041 0.01751 1.961170512e-06
268 -0.89107 0.01875 1.138684695e-07
269 -0.86349 0.02303 3.874943812e-08
270 -0.91358 0.01926 6.229013937e-08
271 -0.91421 0.01724 2.812408036e-07
272 -0.78144 0.02706 5.732642580e-09
273 -0.81156 0.01630 3.757823950e-08
274 -0.94657 0.02643 1.356250208e-06
275 -0.97004 0.02430 1.097263918e-06
276 -0.82266 0.02366 4.327206948e-06
277 -0.94254 0.00727 8.927740053e-09
278 -0.97657 0.01650 4.131356593e-07
279 -0.77433 0.02843 1.752803605e-06
280 -0.78885 0.02356 4.455637425e-08
281 -0.85090 0.01261 5.403010570e-08
282 -0.82257 0.02324 1.537985060e-05
283 -0.84071 0.02085 3.284176964e-11
284 -0.87848 0.01544 7.403469312e-08
285 -0.92163 0.02622 1.770194306e-05
286 -0.95735 0.02115 6.171837793e-05
287 -0.87791 0.02513 1.551525258e-08
288 -0.82366 0.01463 6.363260356e-08
289 -0.83813 0.01031 3.862952737e-09
290 -0.95438 0.01090 2.132159190e-04
291 -0.68337 0.02432 1.837621426e-11
292 -1.01398 0.02681 6.988029572e-05
293 -0.94154 0.01891 2.873657649e-07
294 -0.78343 0.03107 6.051628171e-08
295 -0.82278 0.01290 1.001179043e-10
296 -0.78264 0.01830 3.026249004e-07
297 -0.77228 0.02351 3.281367119e-09
298 -0.81922 0.03193 1.094432310e-09
299 -0.77250 0.01499 5.443279092e-08
300 -0.82593 0.02698 9.579702190e-06
301 -0.76065 0.02905 1.513390445e-08
302 -0.75410 0.04168 1.577727904e-07
303 -0.89056 0.01010 3.304236723e-09
304 -0.87635 0.01747 4.787272317e-05
305 -0.83547 0.01737 2.308219149e-07
306 -0.82069 0.01782 8.935914880e-06
307 -0.88135 0.02876 2.561179529e-07
308 -0.97335 0.01865 4.717074144e-07
309 -0.83582 0.02586 1.505115140e-05
310 -0.91816 0.02528 1.151340883e-06
311 -0.77032 0.00870 8.883997503e-10
312 -0.83394 0.02518 1.610009739e-07
313 -0.68081 0.02852 2.963021759e-09
314 -0.78055 0.01686 1.857566968e-08
315 -0.88113 0.01402 1.691202555e-07
316 -0.73417 0.01778 1.163949991e-09
317 -0.94815 0.03776 9.924790643e-06
318 -0.77260 0.01773 2.640838141e-08
319 -1.01192 0.02776 1.158850495e-04
320 -0.81989 0.01302 4.809735460e-10
321 -0.81683 0.00487 2.130622754e-07
322 -0.75251 0.02915 7.946642082e-09
323 -0.87802 0.02971 2.351982752e-06
324 -0.90696 0.03112 4.407647748e-05
325 -1.05985 0.02467 8.423864563e-09
326 -0.84580 0.02352 2.072710119e-09
327 -0.84610 0.02906 2.285320786e-06
328 -0.85506 0.02620 7.652415417e-09
329 -0.79146 0.01997 4.450747883e-06
330 -0.86330 0.01999 6.097505454e-05
331 -0.90204 0.02911 6.569859678e-08
332 -0.71779 0.01480 4.420881449e-10
333 -0.84674 0.01850 2.735746872e-07
334 -0.89605 0.01352 1.024847327e-08
335 -0.87101 0.01361 1.357247957e-05
336 -0.96657 0.01301 5.806431788e-07
337 -0.86584 0.01288 1.294049800e-07
338 -0.91418 0.01256 2.420381862e-09
339 -0.87836 0.02359 5.332719221e-08
340 -0.74512 0.01514 2.223880508e-07
341 -0.85667 0.03648 4.225725128e-09
342 -0.73226 0.01893 2.271217282e-08
343 -0.81043 0.02000 2.915821562e-08
344 -0.84550 0.04374 7.481920607e-07
345 -0.91618 0.01431 1.780996690e-07
346 -0.91973 0.01863 3.450191449e-05
347 -0.87303 0.01584 6.567861981e-07
348 -0.94086 0.02700 6.787559315e-05
349 -0.83888 0.01241 1.950442970e-09
350 -0.88366 0.02545 1.645904118e-08
351 -0.83206 0.01999 1.058304508e-05
352 -0.86748 0.02918 2.047632402e-09
353 -0.78121 0.01425 2.780625956e-09
354 -0.78328 0.02810 2.640996552e-10
355 -0.71955 0.01769 2.376267265e-09
356 -0.84756 0.01855 7.075620985e-06
357 -0.75163 0.01617 1.260517269e-08
358 -0.96022 0.03330 2.777163604e-06
359 -0.94194 0.03164 3.068242368e-05
360 -0.89472 0.02860 4.356230111e-08
361 -0.73380 0.03472 2.900052992e-09
362 -0.85013 0.02634 1.327694374e-07
363 -0.82927 0.01096 3.063626392e-08
364 -0.97097 0.01081 4.103617650e-08
365 -0.85558 0.01525 1.839400542e-06
366 -0.93391 0.02032 2.347058627e-07
367 -0.79391 0.01515 4.760905996e-07
368 -0.86483 0.01673 1.444890223e-06
369 -0.97307 0.01686 2.401182130e-06
370 -0.84849 0.01172 1.946160387e-06
371 -0.75459 0.03103 4.042844313e-12
372 -0.85652 0.02056 9.247569323e-05
373 -0.83387 0.01408 3.910795206e-05
374 -0.87172 0.02415 4.426628643e-08
375 -0.82680 0.02877 5.302303214e-07
376 -0.89384 0.02512 8.011488224e-06
377 -0.92882 0.02612 2.070671097e-06
378 -0.79877 0.02428 1.208016421e-09
379 -0.96552 0.01582 1.306514027e-07
380 -0.89608 0.01030 5.127546030e-08
381 -0.72210 0.01514 1.158297709e-08
382 -0.80321 0.01157 4.786455540e-08
383 -0.77324 0.02231 5.980769068e-09
384 -0.71039 0.02237 7.512191208e-09
385 -0.85482 0.02040 3.641204349e-07
386 -0.74940 0.01888 1.982616393e-09
387 -0.86231 0.01035 3.122501032e-07
388 -0.76272 0.02132 3.674217287e-09
389 -0.86562 0.03250 1.048374665e-06
390 -0.78795 0.00905 1.109323132e-09
391 -0.91673 0.01343 4.305015060e-08
392 -0.98106 0.01889 1.056996003e-05
393 -0.79989 0.01360 7.600692481e-09
394 -0.87116 0.04766 8.976252542e-06
395 -0.82803 0.01864 7.821224791e-07
396 -0.92342 0.01987 6.240576276e-05
397 -0.95723 0.01729 4.545073241e-06
398 -0.89597 0.02659 3.196816319e-08
399 -0.99628 0.03658 6.063360397e-05
400 -0.78175 0.01107 1.081299186e-09
401 -0.74797 0.01484 1.536829147e-09
402 -0.85579 0.01179 2.718106355e-07
403 -0.82890 0.02275 5.394735465e-09
404 -0.69453 0.01276 3.889364354e-11
405 -0.92233 0.04205 1.528249701e-05
406 -0.91353 0.01578 1.576385685e-05
407 -0.85301 0.01523 1.356396610e-08
408 -0.84646 0.01624 1.121841133e-05
409 -0.88733 0.01817 1.293760570e-06
410 -0.76439 0.02130 2.223785723e-08
411 -0.66909 0.02006 4.948668205e-09
412 -0.77083 0.02014 7.309204494e-07
413 -0.72098 0.02525 5.875592523e-07
414 -0.91617 0.02678 1.698700451e-06
415 -0.81086 0.01884 1.920727588e-06
416 -0.92870 0.02149 4.888221651e-05
417 -0.80657 0.01777 5.947128866e-06
418 -0.90528 0.03094 2.315569363e-08
419 -0.90202 0.01514 1.215820138e-06
420 -0.71759 0.02518 1.010912842e-10
421 -0.74702 0.00903 4.169311455e-10
422 -0.71144 0.02398 6.095777982e-09
423 -0.79271 0.01801 9.291756206e-08
424 -0.96183 0.01991 2.958161576e-07
425 -0.91480 0.01735 5.728257717e-07
426 -0.93095 0.02047 1.289027161e-06
427 -0.80134 0.02723 4.103883425e-07
428 -0.67443 0.01629 3.242873472e-10
429 -0.90370 0.01732 1.675798474e-08
430 -0.87345 0.03435 3.883527525e-07
431 -0.91632 0.03603 1.814241134e-08
432 -0.91200 0.01835 8.937072720e-07
433 -0.98384 0.02875 8.496470830e-06
434 -0.98014 0.02526 3.752903893e-04
435 -0.86433 0.01044 1.674362515e-08
436 -0.90841 0.01396 2.371653507e-07
437 -0.82006 0.03042 3.777137055e-05
438 -1.01127 0.02810 6.437656542e-05
439 -0.91123 0.03017 3.050102756e-05
440 -0.86789 0.01609 1.560258215e-06
441 -0.76523 0.02865 4.232463877e-07
442 -0.95041 0.01615 5.318979757e-08
443 -0.77332 0.01329 2.097600000e-07
444 -0.89428 0.02331 6.315684123e-09
445 -0.71230 0.02937 4.884964481e-08
446 -1.03529 0.02804 2.245405283e-04
447 -0.90068 0.02438 7.808936462e-08
448 -0.85947 0.01585 3.104967742e-10
449 -0.69721 0.02688 7.219242574e-11
450 -0.71998 0.01892 7.441901070e-12
451 -0.78015 0.03486 2.368778589e-08
452 -0.78926 0.01181 2.639649924e-09
453 -0.88310 0.01781 8.668643018e-08
454 -0.78225 0.01554 3.680950698e-08
455 -0.88554 0.01951 8.986608578e-08
456 -0.80164 0.02609 2.058662017e-07
457 -0.67265 0.01920 5.953317998e-05
458 -0.97348 0.03162 4.710195080e-06
459 -0.91496 0.02016 1.470123256e-06
460 -0.94408 0.01035 1.676317931e-06
461 -0.98494 0.00512 1.093559869e-06
462 -0.97664 0.01848 1.434983820e-06
463 -0.84504 0.02194 2.776235678e-04
464 -0.94425 0.02082 6.255420766e-07
465 -0.81560 0.01860 2.589194784e-06
466 -0.87114 0.01938 2.091864558e-07
467 -0.87664 0.01778 1.452389878e-07
468 -0.82698 0.01482 5.107445513e-09
469 -0.82241 0.02169 6.841589263e-07
470 -0.88641 0.02987 1.407991692e-08
471 -0.79774 0.01999 5.837386048e-09
472 -0.82170 0.02561 1.614343009e-08
473 -0.97923 0.02298 1.776421597e-06
474 -0.88081 0.02344 9.299280078e-07
475 -0.83011 0.02552 1.685264563e-07
476 -0.85547 0.01585 1.460436760e-07
477 -0.88860 0.02105 5.385712308e-07
478 -0.97264 0.03419 1.996789589e-05
479 -0.81829 0.01738 5.989117181e-08
480 -0.71152 0.01907 4.556022501e-11
481 -0.83807 0.02280 2.106115087e-06
482 -0.88719 0.02943 4.482284193e-06
483 -0.73859 0.02567 8.574150066e-09
484 -0.78274 0.02404 6.984903585e-09
485 -0.87470 0.01141 9.629196132e-07
486 -0.91965 0.02949 6.787776543e-06
487 -0.89565 0.01341 6.675496334e-08
488 -0.99938 0.01776 1.377694187e-05
489 -0.95407 0.01428 1.964281019e-06
490 -0.83927 0.02037 3.471460515e-07
491 -0.82952 0.01569 6.720081635e-09
492 -0.81719 0.02678 5.357362192e-07
493 -0.92791 0.04579 2.544036610e-06
494 -0.91710 0.02875 2.354379179e-06
495 -0.89060 0.01719 1.859346426e-09
496 -1.01456 0.01880 1.265115062e-05
497 -0.75084 0.01851 3.570094023e-08
498 -0.89595 0.01061 2.439016235e-08
499 -0.83267 0.00846 6.370744684e-10
500 -0.68427 0.01891 1.157617570e-04
501 -0.91685 0.01347 5.010168180e-08
502 -0.74820 0.01494 5.069746300e-08
503 -0.94690 0.02416 6.250374326e-07
504 -0.73258 0.02074 1.763383326e-07
505 -0.85008 0.03327 9.468615420e-05
506 -0.82977 0.03541 2.050879346e-06
507 -0.64644 0.02094 5.168254144e-11
508 -0.73803 0.01939 5.666465635e-10
509 -0.87724 0.02204 4.662856980e-06
510 -0.87896 0.00885 4.440705495e-08
511 -0.89353 0.01540 4.036122288e-08
512 -0.98033 0.00684 2.462590014e-06
513 -0.88597 0.04087 1.361152888e-07
514 -0.80716 0.00992 8.812885746e-09
515 -0.71842 0.02477 7.055326678e-09
516 -0.88093 0.03768 8.301308724e-09
517 -0.90990 0.02254 1.125763291e-06
518 -0.88939 0.01999 5.141099724e-06
519 -0.81642 0.01559 8.100871216e-06
520 -0.72022 0.03446 1.586124273e-08
521 -0.86376 0.02087 4.440130205e-07
522 -0.93808 0.02498 6.514894738e-05
523 -0.79619 0.01093 4.598330067e-09
524 -0.93588 0.02427 8.907919809e-06
525 -0.78354 0.01910 6.851653924e-09
526 -0.90778 0.02797 1.229100901e-06
527 -0.85760 0.02948 2.209541812e-06
528 -0.89921 0.02266 1.400407907e-08
529 -0.88808 0.01821 3.496696281e-09
530 -0.93310 0.03015 2.101727449e-08
531 -0.88336 0.01918 3.611005753e-08
532 -0.79046 0.01427 6.639608442e-09
533 -0.85543 0.01775 1.762298449e-08
534 -0.88148 0.01973 2.358498688e-06
535 -0.98211 0.01086 5.172621972e-06
536 -0.92642 0.01092 1.197925410e-08
537 -0.88300 0.02708 3.417906607e-07
538 -0.94235 0.01441 4.324962613e-05
539 -0.76836 0.01577 6.157602716e-10
540 -0.92086 0.01760 3.077976999e-06
541 -0.89028 0.02565 3.198177659e-06
542 -0.77445 0.04734 5.660509306e-06
543 -0.77579 0.01149 3.749443229e-08
544 -0.74047 0.01332 1.463573523e-10
545 -0.80760 0.01623 1.525650574e-06
546 -0.86120 0.01993 2.490051656e-06
547 -0.92090 0.02010 6.474729119e-05
548 -0.88140 0.01307 1.989407608e-07
549 -0.88838 0.01951 1.282526793e-05
550 -0.87704 0.02101 8.453790983e-05
551 -0.88431 0.02358 1.342546384e-05
552 -0.93135 0.02012 3.001722911e-06
553 -0.76853 0.01465 2.763596161e-08
554 -0.85736 0.01520 8.076600146e-07
555 -0.83551 0.03351 2.307114802e-09
556 -0.80350 0.01943 2.912389265e-07
557 -0.84410 0.04090 3.917168339e-07
558 -0.89345 0.02905 6.498404461e-05
559 -0.82288 0.02857 1.069295506e-05
560 -0.88165 0.02267 2.354219741e-05
561 -0.90422 0.04018 7.156437619e-06
562 -0.99565 0.01898 1.907895376e-08
563 -0.75110 0.01262 3.221161152e-09
564 -0.84307 0.03143 6.131505624e-05
565 -0.84027 0.01311 3.720616266e-06
566 -0.79476 0.01593 1.528489970e-07
567 -0.87901 0.01785 3.767372230e-05
568 -0.82439 0.01056 3.541310091e-08
569 -0.81829 0.02542 2.954367644e-07
570 -0.89507 0.01449 7.350923660e-07
571 -0.86219 0.01387 4.593284735e-06
572 -0.99598 0.02176 6.422295907e-06
573 -0.99674 0.00812 3.267438832e-07
574 -0.79531 0.02672 2.461672446e-07
575 -0.93129 0.01962 1.878691829e-05
576 -1.04535 0.01717 1.312970282e-06
577 -0.72206 0.02512 4.047696061e-08
578 -0.77069 0.01111 7.417418861e-08
579 -0.96943 0.01590 7.760817388e-05
580 -0.92934 0.01222 4.325486632e-06
581 -0.86816 0.00955 2.713184405e-07
582 -0.66587 0.04573 4.264765240e-09
583 -0.80186 0.02078 1.767425552e-08
584 -0.74844 0.01972 1.976931424e-07
585 -0.94797 0.01441 9.272965663e-05
